Country Name,Year,avg_temperature,Average precipitation in depth (mm per year),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Forest area (% of land area),Renewable energy consumption (% of total final energy consumption),deaths_drought,injured_drought,total_damages_drought,deaths_flood,injured_flood,total_damages_flood,deaths_storm,injured_storm,total_damages_storm,deaths_wildfire,injured_wildfire,total_damages_wildfire,deaths_temperature,injured_temperature,total_damages_temperature
Afghanistan,2000,13.61,327.0,0.0504760801948225,1.85278199408184,45.0,37.0,0.0,50.0,,,,,,,,,,,,
Afghanistan,2001,13.95,327.0,0.0465729492262171,1.85278199408184,45.6,,,,,,,,,,,,,327.0,0.0,10.0
Afghanistan,2002,13.79,327.0,0.0440777829029563,1.85278199408184,37.8,,,,81.0,0.0,0.0,,,,,,,,,
Afghanistan,2003,13.26,327.0,0.0443407305372896,1.85278199408184,36.7,,,,136.0,3.0,0.0,,,,,,,,,
Afghanistan,2004,13.91,327.0,0.03789792931894,1.85278199408184,44.2,,,,16.0,0.0,0.0,,,,,,,,,
Afghanistan,2005,13.35,327.0,0.0518878290280668,1.85278199408184,33.9,,,,295.0,43.0,0.0,260.0,0.0,5000.0,,,,21.0,0.0,0.0
Afghanistan,2006,13.8,327.0,0.0553923376777949,1.85278199408184,31.9,0.0,0.0,0.0,282.0,185.0,0.0,71.0,0.0,0.0,,,,,,
Afghanistan,2007,13.49,327.0,0.0775612303767694,1.85278199408184,28.8,,,,296.0,20.0,0.0,,,,,,,,,
Afghanistan,2008,13.45,327.0,0.144751528002023,1.85278199408184,21.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1317.0,182.0,0.0
Afghanistan,2009,13.72,327.0,0.221465726059917,1.85278199408184,16.5,,,,69.0,16.0,20000.0,,,,,,,,,
Afghanistan,2010,14.09,327.0,0.275380974794698,1.85278199408184,15.2,,,,135.0,0.0,0.0,,,,,,,,,
Afghanistan,2011,13.53,327.0,0.388742453073337,1.85278199408184,12.6,0.0,0.0,142000.0,62.0,110.0,0.0,21.0,5.0,0.0,,,,,,
Afghanistan,2012,13.07,327.0,0.319626607745266,1.85278199408184,15.4,,,,149.0,311.0,0.0,,,,,,,45.0,68.0,0.0
Afghanistan,2013,13.91,327.0,0.262469648389334,1.85278199408184,16.9,,,,113.0,2.0,0.0,,,,,,,,,
Afghanistan,2014,13.2,327.0,0.238642815009995,1.85278199408184,19.1,,,,512.0,135.0,3000.0,63.0,0.0,0.0,,,,,,
Afghanistan,2015,13.78,327.0,0.246706024551365,1.85278199408184,17.7,,,,7.0,10.0,0.0,,,,,,,,,
Afghanistan,2016,14.26,327.0,0.216929891611134,1.85278199408184,20.2,,,,84.0,0.0,0.0,,,,,,,,,
Afghanistan,2017,13.88,327.0,0.226011227289355,1.85278199408184,19.5,,,,36.0,22.0,0.0,67.0,10.0,0.0,,,,,,
Afghanistan,2018,14.18,327.0,0.215877625146902,1.85278199408184,18.3,0.0,0.0,0.0,101.0,0.0,0.0,,,,,,,,,
Afghanistan,2019,13.8,327.0,0.191490829184533,1.85278199408184,18.9,,,,171.0,17.0,0.0,,,,,,,,,
Argentina,2000,14.45,591.0,3.67500561079405,12.1964855354461,9.8,,,,13.0,40.0,300000.0,1.0,0.0,0.0,8.0,0.0,0.0,15.0,0.0,0.0
Argentina,2001,15.09,591.0,3.49096906098567,12.0808714176615,11.5,,,,1.0,0.0,750000.0,20.0,150.0,15000.0,0.0,0.0,0.0,14.0,0.0,0.0
